"Tabela 4714 - População Residente, Área territorial e Densidade demográfica"
"Variável - Área da unidade territorial (Quilômetros quadrados)"
"Cód.";"Brasil e Município";"Ano"
"2103554";"Conceição do Lago-Açu (MA)";"725,664"
"2103604";"Coroatá (MA)";"2263,692"
"2103703";"Cururupu (MA)";"1257,608"
"2103752";"Davinópolis (MA)";"332,249"
"2103802";"Dom Pedro (MA)";"358,493"
"2103901";"Duque Bacelar (MA)";"317,494"
"2104008";"Esperantinópolis (MA)";"452,411"
"2104057";"Estreito (MA)";"2720,266"
"2104073";"Feira Nova do Maranhão (MA)";"1625,822"
"2104081";"Fernando Falcão (MA)";"5086,589"
"2104099";"Formosa da Serra Negra (MA)";"3690,610"
"2104107";"Fortaleza dos Nogueiras (MA)";"1853,406"
"2104206";"Fortuna (MA)";"834,830"
"2104305";"Godofredo Viana (MA)";"720,129"
"2104404";"Gonçalves Dias (MA)";"883,588"
"2104503";"Governador Archer (MA)";"445,856"
"2104552";"Governador Edison Lobão (MA)";"615,957"
"2104602";"Governador Eugênio Barros (MA)";"647,989"
"2104628";"Governador Luiz Rocha (MA)";"401,587"
"2104651";"Governador Newton Bello (MA)";"1144,146"
"2104677";"Governador Nunes Freire (MA)";"1037,130"
"2104701";"Graça Aranha (MA)";"271,445"
"2104800";"Grajaú (MA)";"8861,717"
"2104909";"Guimarães (MA)";"478,857"
"2105005";"Humberto de Campos (MA)";"1714,625"
"2105104";"Icatu (MA)";"1124,445"
"2105153";"Igarapé do Meio (MA)";"368,685"
"2105203";"Igarapé Grande (MA)";"346,218"
"2105302";"Imperatriz (MA)";"1369,039"
"2105351";"Itaipava do Grajaú (MA)";"1244,398"
"2105401";"Itapecuru Mirim (MA)";"1480,641"
"2105427";"Itinga do Maranhão (MA)";"3583,423"
"2105450";"Jatobá (MA)";"591,616"
"2105476";"Jenipapo dos Vieiras (MA)";"1962,362"
"2105500";"João Lisboa (MA)";"1137,104"
"2105609";"Joselândia (MA)";"703,081"
"2105658";"Junco do Maranhão (MA)";"568,499"
"2105708";"Lago da Pedra (MA)";"1240,444"
"2105807";"Lago do Junco (MA)";"328,525"
"2105906";"Lago Verde (MA)";"631,455"
"2105922";"Lagoa do Mato (MA)";"1512,985"
"2105948";"Lago dos Rodrigues (MA)";"220,776"
"2105963";"Lagoa Grande do Maranhão (MA)";"744,199"
"2105989";"Lajeado Novo (MA)";"1063,619"
"2106003";"Lima Campos (MA)";"321,932"
"2106102";"Loreto (MA)";"3597,231"
"2106201";"Luís Domingues (MA)";"472,296"
"2106300";"Magalhães de Almeida (MA)";"434,433"
"2106326";"Maracaçumé (MA)";"635,758"
"2106359";"Marajá do Sena (MA)";"1402,593"
"2106375";"Maranhãozinho (MA)";"760,947"
"2106409";"Mata Roma (MA)";"548,548"
"2106508";"Matinha (MA)";"410,632"
"2106607";"Matões (MA)";"2108,671"
"2106631";"Matões do Norte (MA)";"794,454"
"2106672";"Milagres do Maranhão (MA)";"634,818"
"2106706";"Mirador (MA)";"8522,351"
"2106755";"Miranda do Norte (MA)";"341,107"
"2106805";"Mirinzal (MA)";"686,942"
"2106904";"Monção (MA)";"1245,548"
"2107001";"Montes Altos (MA)";"1488,513"
"2107100";"Morros (MA)";"1712,121"
"2107209";"Nina Rodrigues (MA)";"570,938"
"2107258";"Nova Colinas (MA)";"743,085"
"2107308";"Nova Iorque (MA)";"978,340"
"2107357";"Nova Olinda do Maranhão (MA)";"2452,615"
"2107407";"Olho d'Água das Cunhãs (MA)";"695,333"
"2107456";"Olinda Nova do Maranhão (MA)";"199,879"
"2107506";"Paço do Lumiar (MA)";"127,193"
"2107605";"Palmeirândia (MA)";"532,161"
"2107704";"Paraibano (MA)";"530,517"
"2107803";"Parnarama (MA)";"3245,525"
"2107902";"Passagem Franca (MA)";"1358,327"
"2108009";"Pastos Bons (MA)";"1635,181"
"2108058";"Paulino Neves (MA)";"979,482"
"2108108";"Paulo Ramos (MA)";"1168,609"
"2108207";"Pedreiras (MA)";"262,066"
"2108256";"Pedro do Rosário (MA)";"1753,867"
"2108306";"Penalva (MA)";"800,916"
"2108405";"Peri Mirim (MA)";"397,994"
"2108454";"Peritoró (MA)";"824,725"
"2108504";"Pindaré-Mirim (MA)";"268,285"
"2108603";"Pinheiro (MA)";"1512,969"
"2108702";"Pio XII (MA)";"545,140"
"2108801";"Pirapemas (MA)";"688,761"
"2108900";"Poção de Pedras (MA)";"990,415"
"2109007";"Porto Franco (MA)";"1420,510"
"2109056";"Porto Rico do Maranhão (MA)";"244,979"
"2109106";"Presidente Dutra (MA)";"771,574"
"2109205";"Presidente Juscelino (MA)";"355,568"
"2109239";"Presidente Médici (MA)";"437,687"
"2109270";"Presidente Sarney (MA)";"726,172"
"2109304";"Presidente Vargas (MA)";"460,004"
"2109403";"Primeira Cruz (MA)";"1337,161"
"2109452";"Raposa (MA)";"79,213"
"2109502";"Riachão (MA)";"6402,830"
"2109551";"Ribamar Fiquene (MA)";"733,458"
"2109601";"Rosário (MA)";"647,998"
"2109700";"Sambaíba (MA)";"2476,132"
"2109759";"Santa Filomena do Maranhão (MA)";"623,213"
"2109809";"Santa Helena (MA)";"2191,168"
"2109908";"Santa Inês (MA)";"786,689"
"2110005";"Santa Luzia (MA)";"4837,169"
"2110039";"Santa Luzia do Paruá (MA)";"1010,483"
"2110104";"Santa Quitéria do Maranhão (MA)";"1430,330"
"2110203";"Santa Rita (MA)";"756,797"
"2110237";"Santana do Maranhão (MA)";"932,030"
"2110278";"Santo Amaro do Maranhão (MA)";"1582,806"
"2110302";"Santo Antônio dos Lopes (MA)";"770,923"
"2110401";"São Benedito do Rio Preto (MA)";"931,485"
"2110500";"São Bento (MA)";"456,997"
"2110609";"São Bernardo (MA)";"1005,824"
"2110658";"São Domingos do Azeitão (MA)";"961,249"
"2110708";"São Domingos do Maranhão (MA)";"1151,978"
"2110807";"São Félix de Balsas (MA)";"2032,599"
"2110856";"São Francisco do Brejão (MA)";"745,357"
"2110906";"São Francisco do Maranhão (MA)";"2284,217"
"2111003";"São João Batista (MA)";"649,956"
"2111029";"São João do Carú (MA)";"910,065"
"2111052";"São João do Paraíso (MA)";"2052,328"
"2111078";"São João do Soter (MA)";"1438,067"
"2111102";"São João dos Patos (MA)";"1483,255"
"2111201";"São José de Ribamar (MA)";"180,363"
"2111250";"São José dos Basílios (MA)";"353,720"
"2111300";"São Luís (MA)";"583,063"
"2111409";"São Luís Gonzaga do Maranhão (MA)";"909,164"
"2111508";"São Mateus do Maranhão (MA)";"800,045"
"2111532";"São Pedro da Água Branca (MA)";"720,461"
"2111573";"São Pedro dos Crentes (MA)";"979,915"
"2111607";"São Raimundo das Mangabeiras (MA)";"3524,501"
"2111631";"São Raimundo do Doca Bezerra (MA)";"419,550"
"2111672";"São Roberto (MA)";"226,811"
"2111706";"São Vicente Ferrer (MA)";"393,928"
"2111722";"Satubinha (MA)";"441,811"
"2111748";"Senador Alexandre Costa (MA)";"426,437"
"2111763";"Senador La Rocque (MA)";"738,187"
"2111789";"Serrano do Maranhão (MA)";"1165,318"
"2111805";"Sítio Novo (MA)";"3114,683"
"2111904";"Sucupira do Norte (MA)";"1074,435"
"2111953";"Sucupira do Riachão (MA)";"862,226"
"2112001";"Tasso Fragoso (MA)";"4369,159"
"2112100";"Timbiras (MA)";"1486,584"
"2112209";"Timon (MA)";"1763,220"
"2112233";"Trizidela do Vale (MA)";"291,610"
"2112274";"Tufilândia (MA)";"270,934"
"2112308";"Tuntum (MA)";"3369,121"
"2112407";"Turiaçu (MA)";"2622,281"
"2112456";"Turilândia (MA)";"1507,622"
"2112506";"Tutóia (MA)";"1566,080"
"2112605";"Urbano Santos (MA)";"1707,621"
"2112704";"Vargem Grande (MA)";"1958,702"
"2112803";"Viana (MA)";"1166,745"
"2112852";"Vila Nova dos Martírios (MA)";"1190,008"
"2112902";"Vitória do Mearim (MA)";"716,719"
"2113009";"Vitorino Freire (MA)";"1193,385"
"2114007";"Zé Doca (MA)";"2140,109"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1- Dados do Universo."
"2- Os dados apresentados foram atualizados em 27/10/23 e se referem aos dados coletados até o dia 28/05/2023, com a incorporação das revisões realizadas entre 29/05/2023 e 07/07/2023."
"3- Os dados referentes aos municípios Abel Figueiredo (PA) e São Pedro da Água Branca (MA) foram corrigidos no dia 22/12/2023, impactando nos totais dos estados do Pará e do Maranhão e nos totais das Grandes Regiões do Norte e Nordeste."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
